UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2024,29,4471762,2265559,2206203,1639683,1577098,343576,343229,33630,32616,160415,166735,6569,6574,81686,79951,1712878,1648579,382065,381968,56622,54948,190354,195639,13442,13250,1756094,1714952,1195118,1148498,317990,318572,18120,17622,155234,161765,4802,4818,64830,63677,1253168,1205461,348652,349585,33967,33165,180763,186257,10148,10065,509465,491251,444565,428600,25586,24657,15510,14994,5181,4970,1767,1756,16856,16274,459710,443118,33413,32383,22655,21783,9591,9382,3294,3185
R,7,2024,30,4562498,2312427,2250071,1666123,1600358,360346,359185,34200,33419,165859,171370,6644,6740,79255,78999,1736768,1670689,396777,396666,57251,56386,195271,199989,13612,13482,1797379,1755935,1215870,1169122,334340,334219,18703,18306,160855,166333,4897,4991,62714,62964,1271724,1225152,363216,364236,34626,34414,185853,190642,10336,10263,515048,494136,450253,431236,26006,24966,15497,15113,5004,5037,1747,1749,16541,16035,465044,445537,33561,32430,22625,21972,9418,9347,3276,3219
R,7,2024,31,4632085,2346975,2285110,1687338,1622495,371912,368912,35536,34105,169253,176664,6932,6786,76004,76148,1754862,1690039,406098,404238,58243,56940,197760,204508,13688,13459,1828788,1791093,1234412,1190940,345330,343883,19422,19050,164349,171618,5067,5005,60208,60597,1287878,1244662,372273,371898,35156,35085,188776,195434,10415,10248,518187,494017,452926,431555,26582,25029,16114,15055,4904,5046,1865,1781,15796,15551,466984,445377,33825,32340,23087,21855,8984,9074,3273,3211
R,7,2024,32,4732590,2391511,2341079,1721409,1662100,376578,378151,36742,34648,175060,183683,7206,6912,74516,75585,1787189,1728662,408747,412234,59752,57365,203512,212336,14111,13817,1867133,1842829,1263569,1227813,349572,351775,20186,19624,170038,178494,5195,5112,58573,60011,1315190,1280650,374435,378565,36124,35588,194405,202984,10660,10480,524378,498250,457840,434287,27006,26376,16556,15024,5022,5189,2011,1800,15943,15574,471999,448012,34312,33669,23628,21777,9107,9352,3451,3337
R,7,2024,33,4797377,2419420,2377957,1743221,1687712,378308,383924,36508,33976,182476,191577,7829,7265,71078,73503,1805067,1751788,408307,416950,58508,55986,210783,220221,14915,14329,1899279,1889347,1290634,1263808,350604,356704,19861,19355,177142,186080,5729,5418,55309,57982,1338534,1314200,373404,382408,34860,34661,201366,210498,11308,11049,520141,488610,452587,423904,27704,27220,16647,14621,5334,5497,2100,1847,15769,15521,466533,437588,34903,34542,23648,21325,9417,9723,3607,3280
R,7,2024,34,4804325,2420764,2383561,1752366,1695973,372217,382023,36033,33331,185734,195403,7972,7321,66442,69510,1810358,1756681,399520,412589,56517,54581,212685,222425,14602,13967,1902985,1902782,1300982,1278914,344960,354710,19333,19028,180388,190081,5768,5492,51554,54557,1345754,1326365,365500,378184,33255,33711,203478,213231,10999,10784,517779,480779,451384,417059,27257,27313,16700,14303,5346,5322,2204,1829,14888,14953,464604,430316,34020,34405,23262,20870,9207,9194,3603,3183
R,7,2024,35,4664405,2352368,2312037,1710794,1647452,351130,363769,34723,31763,185988,197108,7760,6990,61973,64955,1764850,1704033,376147,391847,54229,51539,211088,222889,13944,13292,1853254,1852906,1275459,1248780,325048,337663,18403,18029,180877,191849,5744,5300,47723,51285,1316900,1293247,343484,359309,31462,31832,202409,214076,10680,10341,499114,459131,435335,398672,26082,26106,16320,13734,5111,5259,2016,1690,14250,13670,447950,410786,32663,32538,22767,19707,8679,8813,3264,2951
R,7,2024,36,4577129,2307761,2269368,1695197,1632250,330558,344546,34131,31163,181394,192613,7763,6929,58718,61867,1746201,1686202,353605,371030,52524,50130,205721,217264,13881,13012,1808473,1814927,1258173,1237100,305485,319160,17832,17411,176443,187640,5623,5244,44917,48372,1296985,1279164,322269,339146,29958,30468,197313,208819,10460,10138,499288,454441,437024,395150,25073,25386,16299,13752,4951,4973,2140,1685,13801,13495,449216,407038,31336,31884,22566,19662,8408,8445,3421,2874
R,7,2024,37,4521381,2283878,2237503,1690856,1617620,318684,333681,33050,30080,178387,189373,7652,6923,55249,59826,1738901,1669813,340313,358944,50740,48889,201146,213196,13320,12720,1789699,1787780,1257104,1225860,294301,308957,17229,16817,173429,184524,5490,5145,42146,46477,1293495,1266219,309897,327882,28941,29674,193005,205025,10053,9773,494179,449723,433752,391760,24383,24724,15821,13263,4958,4849,2162,1778,13103,13349,445406,403594,30416,31062,21799,19215,8141,8171,3267,2947
R,7,2024,38,4524842,2286829,2238013,1703561,1627291,311028,328098,32660,29842,177918,188765,7778,7051,53884,56966,1750357,1676673,331593,351716,50189,48221,200117,211477,13516,12784,1788551,1788825,1265937,1235170,286615,303527,16507,16494,172980,184039,5565,5358,40947,44237,1301286,1273311,301285,321186,28082,29227,191995,203488,10147,9975,498278,449188,437624,392121,24413,24571,16153,13348,4938,4726,2213,1693,12937,12729,449071,403362,30308,30530,22107,18994,8122,7989,3369,2809
R,7,2024,39,4515408,2278462,2236946,1704772,1630691,306023,324270,31869,29508,176296,189543,7660,6942,51842,55992,1749760,1679299,325472,346793,49118,47920,197635,212166,13269,12632,1781944,1788323,1267974,1238791,282283,299871,16054,16333,171430,184901,5435,5279,38768,43148,1301326,1276037,295823,316307,27265,29007,189613,204333,9880,9845,496518,448623,436798,391900,23740,24399,15815,13175,4866,4642,2225,1663,13074,12844,448434,403262,29649,30486,21853,18913,8022,7833,3389,2787
